indicator,indicator_type,meta.source,meta.do_notice,meta.desc
115.159.92.22,Intel::ADDR,ABUSE-CH,F,THREATFOX
43.138.0.179,Intel::ADDR,ABUSE-CH,F,THREATFOX
218.30.103.224,Intel::ADDR,ABUSE-CH,F,THREATFOX
122.51.195.159,Intel::ADDR,ABUSE-CH,F,THREATFOX
122.51.195.159,Intel::ADDR,ABUSE-CH,F,THREATFOX
122.51.195.159,Intel::ADDR,ABUSE-CH,F,THREATFOX
61.135.130.179,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.105.65.102,Intel::ADDR,ABUSE-CH,F,THREATFOX
218.30.103.192,Intel::ADDR,ABUSE-CH,F,THREATFOX
218.30.103.198,Intel::ADDR,ABUSE-CH,F,THREATFOX
218.30.103.232,Intel::ADDR,ABUSE-CH,F,THREATFOX
34.122.216.148,Intel::ADDR,ABUSE-CH,F,THREATFOX
111.229.19.220,Intel::ADDR,ABUSE-CH,F,THREATFOX
124.221.149.34,Intel::ADDR,ABUSE-CH,F,THREATFOX
101.43.171.91,Intel::ADDR,ABUSE-CH,F,THREATFOX
124.222.218.20,Intel::ADDR,ABUSE-CH,F,THREATFOX
165.227.136.106,Intel::ADDR,ABUSE-CH,F,THREATFOX
116.204.34.3,Intel::ADDR,ABUSE-CH,F,THREATFOX
185.39.19.233,Intel::ADDR,ABUSE-CH,F,THREATFOX
45.137.10.110,Intel::ADDR,ABUSE-CH,F,THREATFOX
45.137.10.110,Intel::ADDR,ABUSE-CH,F,THREATFOX
15.160.26.255,Intel::ADDR,ABUSE-CH,F,THREATFOX
15.160.26.255,Intel::ADDR,ABUSE-CH,F,THREATFOX
3.123.17.149,Intel::ADDR,ABUSE-CH,F,THREATFOX
3.123.17.149,Intel::ADDR,ABUSE-CH,F,THREATFOX
209.54.103.160,Intel::ADDR,ABUSE-CH,F,THREATFOX
209.54.103.160,Intel::ADDR,ABUSE-CH,F,THREATFOX
174.138.179.43,Intel::ADDR,ABUSE-CH,F,THREATFOX
119.62.14.132,Intel::ADDR,ABUSE-CH,F,THREATFOX
119.62.14.132,Intel::ADDR,ABUSE-CH,F,THREATFOX
134.122.162.67,Intel::ADDR,ABUSE-CH,F,THREATFOX
134.122.162.67,Intel::ADDR,ABUSE-CH,F,THREATFOX
93.115.18.223,Intel::ADDR,ABUSE-CH,F,THREATFOX
151.242.63.101,Intel::ADDR,ABUSE-CH,F,THREATFOX
103.49.9.219,Intel::ADDR,ABUSE-CH,F,THREATFOX
178.156.139.48,Intel::ADDR,ABUSE-CH,F,THREATFOX
95.164.53.109,Intel::ADDR,ABUSE-CH,F,THREATFOX
95.164.53.109,Intel::ADDR,ABUSE-CH,F,THREATFOX
93.152.230.51,Intel::ADDR,ABUSE-CH,F,THREATFOX
93.152.230.51,Intel::ADDR,ABUSE-CH,F,THREATFOX
104.233.252.25,Intel::ADDR,ABUSE-CH,F,THREATFOX
104.233.252.25,Intel::ADDR,ABUSE-CH,F,THREATFOX
104.233.252.2,Intel::ADDR,ABUSE-CH,F,THREATFOX
104.233.252.2,Intel::ADDR,ABUSE-CH,F,THREATFOX
161.132.41.108,Intel::ADDR,ABUSE-CH,F,THREATFOX
161.132.41.108,Intel::ADDR,ABUSE-CH,F,THREATFOX
196.251.116.93,Intel::ADDR,ABUSE-CH,F,THREATFOX
196.251.116.93,Intel::ADDR,ABUSE-CH,F,THREATFOX
196.251.117.141,Intel::ADDR,ABUSE-CH,F,THREATFOX
51.107.15.94,Intel::ADDR,ABUSE-CH,F,THREATFOX
38.146.27.144,Intel::ADDR,ABUSE-CH,F,THREATFOX
106.12.111.209,Intel::ADDR,ABUSE-CH,F,THREATFOX
139.129.49.206,Intel::ADDR,ABUSE-CH,F,THREATFOX
43.139.159.252,Intel::ADDR,ABUSE-CH,F,THREATFOX
47.99.215.103,Intel::ADDR,ABUSE-CH,F,THREATFOX
139.59.39.19,Intel::ADDR,ABUSE-CH,F,THREATFOX
8.155.165.8,Intel::ADDR,ABUSE-CH,F,THREATFOX
180.76.231.82,Intel::ADDR,ABUSE-CH,F,THREATFOX
5.133.102.252,Intel::ADDR,ABUSE-CH,F,THREATFOX
178.16.52.250,Intel::ADDR,ABUSE-CH,F,THREATFOX
209.25.141.181,Intel::ADDR,ABUSE-CH,F,THREATFOX
107.150.100.32,Intel::ADDR,ABUSE-CH,F,THREATFOX
107.150.102.74,Intel::ADDR,ABUSE-CH,F,THREATFOX
147.45.211.142,Intel::ADDR,ABUSE-CH,F,THREATFOX
147.45.211.143,Intel::ADDR,ABUSE-CH,F,THREATFOX
147.45.48.80,Intel::ADDR,ABUSE-CH,F,THREATFOX
193.26.115.154,Intel::ADDR,ABUSE-CH,F,THREATFOX
147.45.211.59,Intel::ADDR,ABUSE-CH,F,THREATFOX
78.153.149.249,Intel::ADDR,ABUSE-CH,F,THREATFOX
88.151.192.118,Intel::ADDR,ABUSE-CH,F,THREATFOX
81.19.140.41,Intel::ADDR,ABUSE-CH,F,THREATFOX
14.19.30.234,Intel::ADDR,ABUSE-CH,F,THREATFOX
5.181.3.37,Intel::ADDR,ABUSE-CH,F,THREATFOX
77.110.112.75,Intel::ADDR,ABUSE-CH,F,THREATFOX
5.181.3.37,Intel::ADDR,ABUSE-CH,F,THREATFOX
14.19.6.245,Intel::ADDR,ABUSE-CH,F,THREATFOX
77.110.112.5,Intel::ADDR,ABUSE-CH,F,THREATFOX
107.150.102.20,Intel::ADDR,ABUSE-CH,F,THREATFOX
88.151.192.129,Intel::ADDR,ABUSE-CH,F,THREATFOX
194.58.38.57,Intel::ADDR,ABUSE-CH,F,THREATFOX
194.58.38.57,Intel::ADDR,ABUSE-CH,F,THREATFOX
147.45.211.59,Intel::ADDR,ABUSE-CH,F,THREATFOX
157.180.112.163,Intel::ADDR,ABUSE-CH,F,THREATFOX
5.223.75.1,Intel::ADDR,ABUSE-CH,F,THREATFOX
5.78.86.200,Intel::ADDR,ABUSE-CH,F,THREATFOX
49.13.13.91,Intel::ADDR,ABUSE-CH,F,THREATFOX
37.27.9.21,Intel::ADDR,ABUSE-CH,F,THREATFOX
178.156.143.111,Intel::ADDR,ABUSE-CH,F,THREATFOX
103.97.89.98,Intel::ADDR,ABUSE-CH,F,THREATFOX
103.97.89.98,Intel::ADDR,ABUSE-CH,F,THREATFOX
20.191.146.163,Intel::ADDR,ABUSE-CH,F,THREATFOX
